time_sec,odom_total_distance,coverage_proxy,coverage_gain,frontier_count,active_path_update_count,position_cmd_update_count,goal_reselect_count,coverage_stall_event_count
30.037649869918823,4.46369876276515,0.08525990281254602,0.08525990281254602,111,22,23,3,0
60.03817582130432,10.325941079578216,0.08798409659843912,0.08798409659843912,116,48,49,4,1
90.06784009933472,16.014076717345294,0.08967751435723752,0.08967751435723752,118,75,76,5,1
120.0686240196228,23.622551531256466,0.09490502135178913,0.09490502135178913,122,97,97,9,1
150.06991124153137,30.672605366604046,0.1058017964953615,0.1058017964953615,135,125,126,10,1
180.07007813453674,43.08551857420128,0.13061404800471213,0.13061404800471213,147,152,153,14,1
210.07071924209595,47.08907225100376,0.14548667353850686,0.14548667353850686,157,162,163,16,1
240.07121682167053,47.089072251017505,0.14548667353850686,0.14548667353850686,157,162,163,16,2
270.1044352054596,47.089072251017505,0.14548667353850686,0.14548667353850686,157,162,163,16,2
300.00389647483826,47.089072251017505,0.14548667353850686,0.14548667353850686,157,162,163,16,2
