time_sec,event_type,reason,position,goal,frontier_count,coverage_proxy,trajectory_count
2.4611549377441406,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[6.988627185878414, -12.011372814121186, 1.2]","[0.5, -4.166666666666667, 1.2]",117,0.08128405242232366,51
7.958304405212402,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.4908757650838815, -11.509124234916115, 1.2000000460575047]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,161
12.959239959716797,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499980098696685, -11.500019901303316, 1.2000000476801687]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,261
18.460557222366333,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.4999999765094865, -11.500000023490514, 1.2000000476837114]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,371
20.118207454681396,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.49999999682859, -11.50000000317141, 1.2000000476837132]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,405
23.95778203010559,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999972358, -11.500000000027644, 1.2000000476837132]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,481
25.11938738822937,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999993403, -11.5000000000066, 1.2000000476837134]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,505
25.584965705871582,COVERAGE_STALL,20s_frontier_stable_and_coverage_gain_below_0.01,"[7.499999999996277, -11.500000000003725, 1.2000000476837134]","[-8.166666984558105, -10.0, 1.2000000476837158]",119,0.08393461934913857,513
30.120574235916138,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999999985, -11.500000000000021, 1.2000000476837134]","[-8.228256225585938, -7.7862396240234375, 1.2000000476837158]",119,0.08393461934913857,605
33.95708084106445,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,681
35.1517231464386,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,707
38.95844101905823,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[0.5, -4.166666666666667, 1.2]",119,0.08393461934913857,783
40.15249013900757,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-8.166666984558105, -10.0, 1.2000000476837158]",119,0.08393461934913857,807
43.959442377090454,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-8.166666984558105, -10.0, 1.2000000476837158]",119,0.08393461934913857,883
45.153470039367676,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-8.166666984558105, -10.0, 1.2000000476837158]",119,0.08393461934913857,907
45.58578419685364,COVERAGE_STALL,20s_frontier_stable_and_coverage_gain_below_0.01,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-8.166666984558105, -10.0, 1.2000000476837158]",119,0.08393461934913857,915
48.961220026016235,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-9.0, -11.5, 1.2000000476837158]",119,0.08393461934913857,985
50.185387134552,MOTION_STUCK,20s_displacement_below_0.2m_with_planner_output,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-9.0, -11.5, 1.2000000476837158]",119,0.08393461934913857,1009
54.45957016944885,REPEATED_GOAL,three_consecutive_goals_within_0.5m,"[7.499999999999989, -11.500000000000021, 1.2000000476837134]","[-9.253401756286621, -9.52040958404541, 1.2000000476837158]",119,0.08393461934913857,1101
