time_sec,coverage_proxy,odom_total_distance,coverage_gain_per_meter,path_length_regret_avg,near_high_gain_candidate_ignored_count,route_revisit_ratio,route_tortuosity,main_route_issue
30.012676239013672,0.10477102046826682,7.785117523501561,0.0032249685210109648,-1.1072174717626408,0,0.8378378378378378,1.918827545168193,LOCAL_REGION_REVISIT
60.01528072357178,0.12494477985569136,16.124273537331053,0.002808220676004663,-2.643174322562366,0,0.8441558441558441,1.790635552252013,GOAL_TO_PATH_TIMEOUT
90.02951431274414,0.13009865999116477,21.516509388027572,0.0023439860787374985,0.2637447222820953,0,0.8640776699029127,2.2074808617304846,GOAL_TO_PATH_TIMEOUT
120.03057789802551,0.14924164335149462,31.27850207572275,0.0022244473747639803,2.348889985436348,0,0.8675496688741722,1.9737572813004813,GOAL_TO_PATH_TIMEOUT
150.06276392936707,0.16242085112649093,37.03498231156367,0.002234551886853416,2.253677142411118,0,0.8659217877094972,2.3166465335315185,GOAL_TO_PATH_TIMEOUT
180.08810234069824,0.19098807244882934,45.98606871369109,0.002420816000152722,1.74633916165853,0,0.8738738738738738,3.664709304064313,GOAL_TO_PATH_TIMEOUT
210.0885546207428,0.20681784715064055,51.02274435870551,0.0024920961666449865,1.6205796252715394,0,0.8739837398373984,3.8658257881531553,GOAL_TO_PATH_TIMEOUT
240.0960328578949,0.24046532174937418,61.286432720352025,0.0026237627659044978,1.0559871465146307,0,0.8779661016949153,3.8064499481709433,GOAL_TO_PATH_TIMEOUT
270.0970633029938,0.24046532174937418,61.59219537201381,0.002610737598417142,1.0958483006294268,0,0.8783783783783784,3.8445358591758505,TRAVEL_TRAJ_MISSING_AFTER_GOAL
300.00280380249023,0.24436754528051832,68.01450664985022,0.002421590508710653,1.2357435889919888,0,0.875,3.8074107256276273,TRAVEL_TRAJ_MISSING_AFTER_GOAL
