time_sec,coverage_proxy,odom_total_distance,coverage_gain_per_meter,path_length_regret_avg,near_high_gain_candidate_ignored_count,route_revisit_ratio,route_tortuosity,main_route_issue
30.026551961898804,0.08525990281254602,4.6902948835078515,0.0016011657715556905,8.732947216208595,0,0.8333333333333334,1.078701039462573,PATH_COST_UNDERWEIGHTED
60.03428769111633,0.08643793255779708,11.521530755989254,0.0007540638093345663,6.405205262157729,0,0.8928571428571429,1.77042153740115,PATH_COST_UNDERWEIGHTED
90.03598690032959,0.09335885731114711,17.721810133265038,0.0008807731268533174,5.073608337658081,0,0.8953488372093024,1.7586606162485727,PATH_COST_UNDERWEIGHTED
120.04067325592041,0.12582830216462965,29.56474315436825,0.001626205197421291,3.5378553412343683,0,0.8943661971830986,3.6748646359871406,PATH_COST_UNDERWEIGHTED
150.04089999198914,0.14798998674716538,41.81685605274398,0.0016797059891829394,2.0283122303140364,0,0.8805970149253731,22.41401459183429,PATH_COST_UNDERWEIGHTED
180.066725730896,0.16278898542188192,47.294631059230234,0.0017980692592529455,1.5680934630715688,0,0.8810572687224669,9.549492696231349,PATH_COST_UNDERWEIGHTED
210.0743589401245,0.17125607421587394,52.285472433859226,0.0017883765160119397,1.8112172724045223,0,0.876984126984127,8.631608523181406,PATH_COST_UNDERWEIGHTED
240.0744206905365,0.1761890737741128,57.30685335026274,0.0017177545936064036,1.2501870621642288,0,0.8840579710144928,6.173076958574576,PATH_COST_UNDERWEIGHTED
270.07466197013855,0.1761890737741128,61.32511794322744,0.001605200509824925,1.0958786022910616,0,0.8915254237288136,6.973391647559963,PATH_COST_UNDERWEIGHTED
300.0078773498535,0.18266823737299367,67.13169860621946,0.0015628723295361842,1.7435592920212972,0,0.891640866873065,6.760289541159452,PATH_COST_UNDERWEIGHTED
