time_sec,odom_total_distance,coverage_proxy,coverage_gain,frontier_count,active_path_update_count,position_cmd_update_count,goal_reselect_count,coverage_stall_event_count
30.039758920669556,0.002033989793399537,0.08820497717567369,0.0,102,0,1,0,1
60.07305932044983,4.034910814569397,0.0995435134737152,0.011338536298041518,106,16,17,2,1
90.07324361801147,9.698872502004477,0.12052716831099985,0.03232219113532617,121,45,46,2,1
120.09340620040894,15.758304622737986,0.13628331615373288,0.04807833897805919,126,73,74,3,1
150.10629796981812,17.51583450207994,0.14025916654395523,0.052054189368281545,131,81,82,10,2
180.1105661392212,22.528807793111373,0.14128994257104993,0.053084965395376243,130,109,110,11,2
210.13967394828796,29.145671595059124,0.14128994257104993,0.053084965395376243,130,137,138,11,2
240.1731514930725,37.52046533803662,0.16124282138123988,0.0730378442055662,132,165,166,12,2
270.1883764266968,40.964620157412845,0.17640995435134738,0.08820497717567369,156,178,179,15,2
300.008896112442,46.33995809483194,0.19194522161684582,0.10374024444117214,169,203,204,18,2
