time_sec,odom_total_distance,coverage_proxy,coverage_gain,frontier_count,active_path_update_count,position_cmd_update_count,goal_reselect_count,coverage_stall_event_count
30.03137493133545,4.332292476230006,0.09240170814313062,0.007289059048740984,114,20,20,4,0
60.031696796417236,11.247121898128036,0.09394787218377264,0.008835223089383004,118,49,49,5,1
90.0642659664154,18.509696664487336,0.10072154321896627,0.015608894124576639,114,66,66,7,1
120.06500029563904,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
150.07758235931396,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
180.07866382598877,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
210.097589969635,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
240.09834599494934,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
270.0985679626465,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
300.032035112381,18.509696768056585,0.10072154321896627,0.015608894124576639,114,66,66,7,2
