time_sec,odom_total_distance,coverage_proxy,coverage_gain,frontier_candidate_count,frontier_viewpoint_count,selected_goal_unique_count,active_path_endpoint_to_goal_distance_avg,unreachable_goal_ratio,coverage_stall_max_duration,main_frontier_blocker
30.027711391448975,7.834531334385926,0.12222058606979826,0.03887498159328523,136,51,6,3.568574007723718e-17,0.39285714285714285,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
60.02938532829285,12.880541164082583,0.13620968929465468,0.05286408481814166,141,41,13,2.172175482962263e-17,0.44,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
90.03056693077087,12.880541164155325,0.13620968929465468,0.05286408481814166,141,40,13,2.172175482962263e-17,0.5,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
120.06653428077698,18.33034879407234,0.1503460462376675,0.06700044176115448,146,44,15,1.5571959306430766e-17,0.4520547945205479,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
150.09721326828003,18.33188775112832,0.1503460462376675,0.06700044176115448,146,46,16,1.5571959306430766e-17,0.5180722891566265,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
180.0975956916809,27.49592555248244,0.16426152260344573,0.0809159181269327,158,33,22,0.10397842533307841,0.4247787610619469,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
210.13751125335693,35.99264279482073,0.16426152260344573,0.0809159181269327,158,33,23,0.07690150941851173,0.37404580152671757,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
240.14877271652222,42.3302491035554,0.1692681490207628,0.08592254454424976,163,32,24,0.153886231290524,0.3356164383561644,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
270.1637740135193,47.418383414219335,0.17869238698277132,0.09534678250625829,172,36,25,0.12351963649232368,0.2958579881656805,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
300.02716422080994,50.23462801425659,0.18524517744073038,0.10189957296421735,174,25,29,0.11311380216403147,0.31958762886597936,0.0,PATH_ENDPOINT_FAR_FROM_GOAL
